Вівторок,вівторок
визначати,визначат
які,який
села,село
перспективні,перспективня
які,який
неп,неп
ерспективні,ерспективня
Ми,ми
вам,ви
не,не
дозволимо,дозволий
таке,такий
робити,робити
Якщо,якщо
ви,ви
хочете,хотіти
розвивати,розвивати
сильн,сильн
у,у
країну,країна
то,то
є,бути
єдиний,єдиний
спосіб,спосіб
це,це
робити,робити
усі,увесь
податки,податок
мають,мати
надходити,надходити
до,до
сіл,сіл
селищ,селище
міст,місто
а,а
не,не
ні,ні
яким,який
надуманим,надумані
об’єднаним,об’єднаний
громадам,громада
Саме,саме
таку,такий
позицію,позиція
і,і
об,об
стоює,стоює
Батьківщина,батьківщина
М,М.
и,и
вам,ви
не,не
дозволимо,дозволий
зачистити,зачистит
село,село
Ви,ви
ду,ду
маєте,мати
що,що
ви,ви
перспективними,перспективний
планами,план
визначите,визначите
де,де
закрити,закрит
школу,школа
де,де
закрити,закрит
лікарню,лікарня
Не,не
вийде,вийти
у,у
вас,ви
це,це
60,60
Я,я
переконаний,переконаний
всі,весь
свідомі,свідомі
громади,громада
знають,знати
що,що
до,до
тих,той
пір,пір
поки,поки
всі,весь
податки,податок
не,не
будуть,бути
залишатися,залишатися
на,на
місцях,місце
в,в
селі,село
селищі,селищі
місті,місто
держави,держава
не,не
буде,бути
А,а
з,з
неперспектив,неперспектив
ними,вони
селами,село
йдіть,йдіть
до,до
Сталіна,Сталін
і,і
Брежнєва,Брежнєв
у,у
них,вони
вчіться,вііться
як,як
вони,вони
знищували,знищували
українське,український
село,село
не,не
даючи,давати
паспорт,паспорт
українцю,українець
в,в
селі,село
не,не
даючи,давати
йому,він
можливість,можливість
розвива,розвива
тися,тися
Не,не
пройде,пройде
у,у
вас,ви
це,це
До,до
побачення,побачення
ГОЛОВУЮЧИЙ,головуючий
Від,від
Опозиційного,опозиційний
блоку,блок
виступатиме,виступатиме
депу,депу
тат,тат
Гусак,гусак
ГУСАК,гуса
В,в
Г,Г.
Шановні,шановний
українці,українець
шановні,шановня
колеги,колега
шановний,шановний
Голово,голово
Опозиційний,опозиційний
блок,блок
підтримує,підтримувати
реальний,реальний
розвиток,розвиток
місцевого,місцевий
самоврядування,самоврядування
в,в
Україні,Україна
Але,але
в,в
тому,тому
законопроекті,законопроект
який,який
ми,ми
зараз,зараз
обговорюємо,обговорювати
про,про
це,це
взагалі,взагалі
не,не
йдеться,йтися
Я,я
вже,вже
казав,казати
що,що
особливо,особливо
слово,слово
добровільне,добровільне
в,в
назві,назва
цього,цей
законопроекту,законопроект
це,це
якесь,якийсь
знущання,знущання
Бо,бо
принаймні,принаймні
в,в
половині,половині
областей,область
України,Україна
я,я
можу,могти
назвати,назвати
Донецьку,донецька
Закарпатську,закарпатська
Одеську,одеська
області,область
ті,той
перспективні,перспективня
плани,плани
як,як
і,і
розробила,розробил
чи,чи
затвердила,затвердила
обласна,обласна
державна,державна
адміністрація,адміністрація
взагалі,взагалі
не,не
мають,мати
нічо,нічо
го,го
спільного,спільний
з,з
думкою,думка
людей,людина
Людей,люди
взагалі,взагалі
ніхто,ніхто
не,не
запитував,запитувати
Що,що
стосується,стосуватися
меж,межа
районів,район
Яке,яке
місцеве,місцеве
самоврядування,самоврядування
Ми,ми
таким,такий
законом,закон
передаємо,передаємо
повноваження,повноваження
обласним,обласний
адміністр,адміністр
аціям,ація
які,який
призначають,призначають
з,з
Києва,Київ
і,і
передаємо,передаємо
повноваження,повноваження
Кабміну,кабмін
дійсно,дійсно
готувати,готувати
відповідне,відповідний
рішення,рішення
до,до
Верховної,верховний
Ради,рада
Не,не
можна,можна
за,за
цей,цей
законопроект,законопроект
голосувати,голосуват
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Колеги,Колеги
ще,ще
виступи,виступ
від,від
фракцій,фракція
Бурбак,бурбак
Колеги,Колеги
стоп,стоп
Вже,вже
ж,ж
виступали,виступали
Ко,ко
леги,леги
за,за
хвилину,хвилина
переходимо,переходий
до,до
голосування,голосування
Вже,вже
ж,ж
був,бути
виступ,виступ
від,від
фракції,фракція
Шум,шум
у,у
залі,зал
Колеги,Колеги
я,я
вас,ви
дуже,дуже
прошу,просити
Увага,увага
Я,я
прошу,просити
вас,ви
щоб,щоб
ви,ви
під,під
час,час
виступів,виступ
рекомендували,рекомендуваль
як,як
нам,ми
діяти,диять
надалі,надалі
Я,я
прошу,просити
вас,ви
щоб,щоб
можливо,можливо
ми,ми
об’єдналися,об’єдналися
довкола,довкола
пропозиції,пропозиція
н,н
аправити,аправит
законопроект,законопроект
на,на
повторне,повторний
друге,другий
читання,читання
якщо,якщо
буде,бути
загальна,загальний
позиція,позиція
Я,я
прошу,просити
у,у
виступах,виступа
не,не
тільки,тільки
давати,давати
політичні,політичний
оцінки,оцінка
але,але
й,й
пропонувати,пропонуват
як,як
діяти,диять
мені,я
щоб,щоб
ми,ми
не,не
втратили,втратити
даний,даний
законопроект,законопроект
Можливо,можливо
пропозиція,пропозиція
про,про
на,на
правлення,правлення
на,на
повторне,повторний
дру,дра
ге,ге
читання,читання
зможе,змогти
об’єднати,об’єднати
зал,зал
ми,ми
змо,змо
жемо,же
в,в
дискусіях,дискусія
вивчити,вивчити
і,і
обговорити,обговорити
ці,цей
питання,питання
Але,але
я,я
пам’ятаю,пам’ята
61,61
як,як
важко,важко
ми,ми
проходили,проходити
перше,перше
читання,читання
Я,я
дуже,дуже
не,не
хотів,хотіти
би,би
щоб,щоб
ми,ми
роботу,робота
великого,великий
колективу,колектив
багатьох,багато
спеціалістів,спеціаліст
поховали,поховали
в,в
один,один
момент,момент
відхиливши,відхиливши
зак,зак
онопроект,онопроект
Тому,тому
я,я
прошу,просити
ще,ще
раз,раз
зайти,зайти
всіх,весь
депутатів,депутат
до,до
залу,зал
і,і
у,у
заключ,заключ
них,вони
виступах,виступа
надати,надати
пропозиції,пропозиція
Максим,макси
Бурбак,бурбак
Прошу,прош
1,1
хвилина,хвилина
І,і
надайте,надайте
пропозиції,пропозиція
БУРБАК,бурбак
М,М.
Ю,Ю
Виборчий,виборчий
округ,окр
№,№
204,204
Чернівці,чернівка
Народний,народний
фронт,фронт
Шановні,шановний
колеги,колега
Отут,отут
зараз,зараз
всі,весь
розк,розк
азують,азують
нам,ми
як,як
вони,вони
переживають,переживати
за,за
село,село
за,за
громади,громада
а,а
я,я
вам,ви
наведу,наведу
маленький,маленький
приклад,приклад
Чернівецька,чернівецький
область,область
голова,голова
обласної,обласна
ради,ради
представник,представник
Бать,бать
ківщини,ківщини
Іван,Іван
Мунтян,мунтян
До,до
чого,що
вони,вони
додумалис,додумалис
я,я
Один,один
район,район
одна,один
громада,громада
Ось,ось
що,що
вони,вони
вкладають,вкладають
у,у
зміст,зміст
Во,во
ни,ни
хочуть,хотіти
не,не
реформу,реформ
провести,провести
а,а
лише,лише
змінити,змінити
вивіску,вивіску
В,в
районі,район
громада,громада
Друге,друг
питання,питання
18,18
грудня,грудень
вибори,вибори
У,у
кожному,кожний
окрузі,округ
вони,вони
зареє,зареє
стрували,стрували
своїх,свій
кандидатів,кандидат
до,до
рад,рад
об’єднаних,об’єднані
територіальних,територіальний
громад,громада
Що,що
ж,ж
ви,ви
тут,тут
нам,ми
розказуєте,розказуєте
правду,правда
життя,життя
Що,що
ви,ви
розказ,розказ
уєте,уєте
за,за
геноцид,геноцид
Знов,знов
таки,таки
брешете,брешете
Все,все
іншого,інший
нема,немати
є,бути
Можу,можа
вам,ви
сказати,сказати
так,так
громади,громада
об’єднаються,об’єднаються
Будете,бути
ви,ви
чинити,чинити
спротив,спротив
чи,чи
не,не
будете,бути
це,це
є,бути
процес,процес
невідворотний,невідворотний
бо,бо
є,бути
громади,громада
які,який
показали,показати
успіх,успіх
Зокрема,зокрема
Великокучурівська,великокучурівська
громада,громада
Сторожинецький,сторожинецький
район,район
Чернівецька,чернівецький
область,область
плюс,плюс
7,7
мільйонів,мільйон
гривень,гривня
в,в
бюджет,бюджет
на,на
розвиток,розвиток
інфра,інфра
структури,структура
і,і
побудували,побудувати
дорогу,дорога
То,то
це,це
є,бути
приклади,приклад
з,з
життя,життя
Ви,ви
можете,могти
тут,тут
сидіти,сидіти
ГОЛОВУЮЧИЙ,головуючий
Будь,бути
ласка,ласка
30,30
секунд,секунда
Колеги,Колеги
увага,увага
Давайте,давайте
зараз,зараз
визначимос,визначимос
я,я
Я,я
можу,могти
провести,провести
загаль,загаль
не,не
обговорення,обговорення
просто,просто
щоб,щоб
ми,ми
розуміли,розуміти
яка,який
є,бути
логіка,логіка
який,який
є,бути
процес,процес
Я,я
прошу,просити
під,під
час,час
виступів,виступ
надавати,надават
пропозиції,пропозиція
які,який
зможуть,змогти
нас,ми
об’єднати,об’єднати
А,а
поки,поки
що,що
бачу,бачити
вибачт,вибачт
е,е
тільки,тільки
політичну,політичний
дискусію,дискусія
а,а
не,не
пропозиції,пропозиція
Я,я
можу,могти
дати,дати
можливість,можливість
виступити,виступити
ще,ще
15,15
народн,народн
им,им
депутатам,депутат
Ми,ми
можемо,могти
обговорювати,обговорювати
проект,проект
закону,закон
до,до
обіду,обід
якщо,якщо
ми,ми
бачимо,бачити
логіку,логіка
як,як
вирішити,вирішити
це,це
питання,питання
Я,я
надам,нада
слово,слово
ще,ще
одному,один
промовцю,промовця
від,від
БПП,бпп
а,а
ви,ви
визначтес,визначтес
я,я
хто,хто
від,від
вас,ви
виступатиме,виступатиме
Це,це
справді,справді
141,141
депутат,депутат
але,але
ви,ви
між,між
собою,себе
визначтес,визначтес
я,я
хто,хто
із,із
тр,тр
ьох,що
виступатиме,виступатиме
Зараз,зараз
слово,слово
для,для
репліки,репліки
на,на
дається,даватися
Батьківщині,батьківщина
потім,потім
висту,вист
пить,пить
ще,ще
один,один
представник,представник
БПП,бпп
62,62
І,і
переходимо,переходий
до,до
голосування,голосування
колеги,колега
Два,два
виступи,виступ
і,і
через,через
2,2
хвилини,хвилина
переходимо,переходий
до,до
прийняття,прийняття
рішення,рішення
Хто,хто
виступатиме,виступатиме
від,від
вас,ви
Крулько,крулько
1,1
хвилина,хвилина
Будь,бути
ласка,ласка
КРУЛЬКО,крулько
І,і
І,і
голова,голова
підкомітету,підкомітет
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
бюджету,бюджет
загальнодержавний,загальнодержавний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
політична,політична
партія,партія
Всеукраїнське,всеукраїнське
об’єднання,об’єднання
Бать,бать
ківщина,ківщина
Фракція,фракція
Батьківщина,батьківщина
Шановні,шановний
колеги,колега
особливо,особливо
наші,наш
теле,теле
і,і
радіослухачі,радіослухач
за,за
голосування,голосування
в,в
другому,другий
читанні,читання
за,за
цей,цей
законо,законо
проект,проект
було,бути
168,168
голосів,голос
разом,разом
із,із
тими,той
сателітами,сателіт
з,з
колишньої,колишній
Партії,партія
регіонів,регіон
Це,це
свідчить,свідчити
про,про
те,те
що,що
немає,немати
ніякої,ніякий
коаліції,коаліція
Не,не
треба,треба
кивати,кивати
на,на
Батьківщину,батьківщина
Подивіться,подивіться
на,на
те,те
що,що
ви,ви
не,не
здатні,здатний
зібрати,зібрат
людей,людина
в,в
залі,зал
Немає,немати
коаліції,коаліція
ні,ні
фактично,фактично
ні,ні
юридично,юридично
І,і
це,це
не,не
проблема,проблема
об’єднаних,об’єднані
громад,громада
а,а
проблема,проблема
полягає,полягати
в,в
нездатності,нездатність
проводити,проводити
ті,той
закони,закон
яких,який
дійсно,дійсно
сьогодні,сьогодні
потребують,потребують
люди,людина
Ось,ось
у,у
чому,чому
справжня,справжній
проблема,проблема
А,а
ми,ми
й,й
надалі,надалі
будемо,бути
відст,відст
оювати,оювати
інтереси,інтерес
українців,українець
будемо,бути
дивитися,дивитися
які,який
громади,громада
дійсно,дійсно
можуть,могти
об’єднуватися,об’єднуватися
і,і
є,бути
самодостат,самодостат
німи,вони
а,а
яких,який
силоміць,силоміць
заганяють,заганяють
до,до
купи,купа
І,і
ми,ми
це,це
зараз,зараз
бачимо,бачити
на,на
при,при
кладі,клада
виборів,вибори
у,у
184,184
громадах,громада
на,на
прикладі,приклад
тих,той
громад,громада
яких,який
силоміць,силоміць
зганяють,зганяють
які,який
незд,незд
атні,атні
сформувати,сформуват
бюджети,бюджет
і,і
які,який
дійсно,дійсно
не,не
зможуть,змогти
вижити,вижити
в,в
сьогоднішніх,сьогоднішніх
умовах,умова
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Колеги,Колеги
зараз,зараз
заключний,заключний
виступ,виступ
Демчак,демчак
І,і
потім,потім
я,я
пропонува,пропонува
тиму,ти
пропозицію,пропозиція
про,про
направлення,направлення
законопроекту,законопроект
на,на
повторне,повторний
друге,другий
читання,читання
Я,я
прошу,просити
всіх,весь
зайти,зайти
до,до
залу,зал
приготуватис,приготуватис
я,я
до,до
голосування,голосування
Демчак,демчак
Будь,бути
ласка,ласка
1,1
хвилина,хвилина
ДЕМЧАК,демщака
Р,р
Є,бути
заступник,заступник
голови,голова
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
фінансової,фінансовий
політики,політика
і,і
банківської,банківський
діяльності,діяльність
одномандатний,одномандатний
виборчий,виборчий
округ,окр
№,№
18,18
Вінницька,вінницька
область,область
партія,партія
Блок,блок
Пет,пет
ра,ра
Порошенка,Порошенко
Шановні,шановний
колеги,колега
якраз,якраз
у,у
моєму,мій
окрузі,округ
є,бути
така,такий
об’єднана,об’єднана
громада,громада
яка,який
об’єднує,об’єднує
два,два
села,село
які,який
належать,належати
до,до
різних,різний
районів,район
Вони,вони
вже,вже
другий,другий
раз,раз
подають,подають
документи,документ
до,до
ЦВК,ЦВК
вони,вони
просять,просити
вимагають,вимагати
від,від
нас,ми
щоб,щоб
ми,ми
прийняли,прийняти
цей,цей
законопроект,законопроект
Я,я
хочу,хотіти
з,з
аперечити,аперечит
і,і
сказати,сказати
що,що
не,не
завдячуючи,завдячуючи
перспективним,перспективний
63,63
планам,план
а,а
наперекір,наперекір
проявляючи,проявля
ініціативу,ініціатив
ці,цей
громади,громада
об,об
’єднуються,’єднуються
Вони,вони
самі,сам
проявили,проявили
вже,вже
ініціативу,ініціатив
І,і
відповідно,відповідно
до,до
Закону,закон
Про,про
добровільне,добровільне
об,об
’єднання,’єднання
тер,тер
иторіальних,иторіальний
громад,громада
вони,вони
вже,вже
створені,створений
Нам,ми
лиш,лиш
е,е
треба,треба
надати,надати
юридичний,юридичний
статус,статус
для,для
того,те
щоб,щоб
вони,вони
могли,могти
змінити,змінити
межі,межа
району,район
У,у
мене,я
пропозиція,пропозиція
така,такий
враховуючи,враховувати
що,що
зараз,зараз
може,могти
не,не
бути,бути
голосів,голос
а,а
законопроект,законопроект
дуже,дуже
важливий,важливий
я,я
прошу,просити
поставити,поставити
на,на
рейтин,рейтин
гове,гове
голосування,голосування
а,а
зараз,зараз
закінчити,закінчити
обговорення,обговорення
і,і
про,про
голосувати,голосуват
після,після
обіду,обід
коли,коли
буде,бути
більше,більше
депутатів,депутат
у,у
залі,зал
ГОЛОВУЮЧИЙ,головуючий
Шановні,шановний
колеги,колега
нема,немати
є,бути
такого,такий
механізму,механізм
на,на
жаль,жаль
Є,бути
механізм,механізм
інший,інший
провести,провести
обговорення,обговорення
на,на
фракці,фракк
ях,я
і,і
пору,пора
шити,шити
питання,питання
чому,чому
трохи,трохи
більше,більше
полови,полови
ни,ни
депутатів,депутат
фракцій,фракція
при,при
сутні,сутень
в,в
залі,зал
Це,це
можливо,можливо
зробити,зробити
Можливо,можливо
на,на
засіданні,засідання
комітету,комітет
треба,треба
обговорити,обговорити
чому,чому
комітет,комітет
пропонує,пропонувати
дане,дане
питання,питання
для,для
прийняття,прийняття
рішення,рішення
а,а
потім,потім
коли,коли
воно,воно
розглядається,розглядається
в,в
залі,зал
не,не
всі,весь
члени,член
комітету,комітет
навіть,навіть
присутні,присутній
Оце,оце
ті,той
механіз,механіз
ми,ми
які,який
ми,ми
можемо,могти
застосувати,застосувати
і,і
якими,який
ми,ми
можемо,могти
діяти,диять
підвищуючи,підвищуючи
дисципліну,дисципліна
в,в
залі,зал
і,і
відповідальність,відповідальність
Я,я
щиро,щиро
вам,ви
кажу,казати
що,що
цей,цей
законопроект,законопроект
на,на
моє,мій
глибоке,глибоке
пере,пере
конання,конання
один,один
з,з
найважливіших,найважливіші
для,для
підтримки,підтримка
місцевого,місцевий
самовряду,самовряд
вання,вання
де,де
ми,ми
даємо,давати
змогу,змога
місцевим,місцевий
громадам,громада
самостійно,самостійно
не,не
за,за
вк,вк
азів,азія
кою,ко
згори,згори
а,а
самостійно,самостійно
вирішувати,вирішуват
як,як
їм,вони
об’єднуватис,об’єднуватис
я,я
надавати,надават
механізм,механізм
їхнього,їхній
єднання,єднання
Ми,ми
справді,справді
зараз,зараз
маємо,мати
підтримати,підтримати
цей,цей
за,за
конопроект,конопроект
і,і
тому,тому
я,я
закликав,закликати
у,у
виступах,виступа
пропонувати,пропонуват
вихід,вихід
з,з
даної,данія
ситуації,ситуація
а,а
не,не
просто,просто
вдаватис,вдаватис
я,я
до,до
взаємних,взаємний
звинув,звинувати
ачень,ачень
Сподіваюся,сподіваюся
що,що
зараз,зараз
ми,ми
зможемо,змогти
вийти,вийти
на,на
позитивне,позитивне
рішення,рішення
стосовно,стосовно
пропозиції,пропозиція
направити,направит
законопроект,законопроект
на,на
повторне,повторний
друге,другий
читан,читан
ня,ня
Так,так
ми,ми
принаймні,принаймні
збережемо,збереже
роботу,робота
великого,великий
колективу,колектив
зможемо,змогти
скоротити,скоротит
термін,термін
коли,коли
знову,знову
цей,цей
законопроект,законопроект
буде,бути
внесе,внесе
ний,ний
до,до
поряд,поряд
ку,ку
денн,денн
ого,о_о
сесії,сесія
Але,але
для,для
того,те
треба,треба
запросити,запросити
депутатів,депутат
до,до
залу,зал
і,і
домовитис,домовитис
я,я
між,між
собою,себе
щоб,щоб
ми,ми
гуртом,гурт
підтримали,підтримали
дану,дан
пропозицію,пропозиція
Колеги,Колеги
пропозиція,пропозиція
про,про
направлення,направлення
на,на
повторне,повторний
друге,другий
читання,читання
Це,це
наступна,наступний
пропозиція,пропозиція
яку,який
я,я
маю,мати
ставити,ставити
згідно,згідно
з,з
Регламентом,регламент
Якщо,якщо
депутати,депутат
її,вона
не,не
підтримають,підтримають
мені,я
доведеться,довестися
оголосити,оголосити
законо,законо
проект,проект
відхиленим,відхилений
Але,але
я,я
дуже,дуже
розраховую,розраховува
що,що
пропозиція,пропозиція
направити,направит
на,на
повторне,повторний
друге,другий
читання,читання
знайде,знайти
п,п.
ідтримку,ідтримка
в,в
залі,зал
колеги,колега
Тому,тому
я,я
прошу,просити
зайти,зайти
до,до
залу,зал
і,і
приготуватис,приготуватис
я,я
до,до
гол,гол
осування,осування
Прошу,прош
64,64
підтримати,підтримати
дати,дати
шанс,шанс
провести,провести
ще,ще
дискусію,дискусія
і,і
вийти,вийти
на,на
позитивне,позитивне
рішення,рішення
Колеги,Колеги
готові,готовий
до,до
голосування,голосування
Отже,отже
колеги,колега
я,я
ставлю,ставель
на,на
голо,голо
сування,сування
пропозицію,пропозиція
про,про
направлення,направлення
на,на
повторне,повторний
друге,другий
читання,читання
проекту,проект
Закону,закон
Про,про
внесення,внесення
змін,зміна
до,до
деяких,деякий
законодавчих,законодавчий
актів,акт
України,Україна
щодо,щодо
умов,умова
зміни,зміна
меж,межа
районів,район
у,у
процесі,процес
добровільного,добровільний
об’єднання,об’єднання
територіальних,територіальний
громад,громада
№,№
4676,4676
Я,я
прошу,просити
підтримати,підтримати
пропозицію,пропозиція
про,про
направлення,направлення
на,на
повторне,повторний
друге,другий
читання,читання
законопроекту,законопроект
№,№
4676,4676
Колеги,Колеги
прошу,просити
підтримати,підтримати
і,і
про-,про-
голосуват,голосуват
и,и
Будь,бути
ласка,ласка
голосуємо,голосує
За,за
217,217
Колеги,Колеги
я,я
почекаю,почека
Я,я
прошу,просити
зайти,зайти
до,до
залу,зал
У,у
залі,зал
треба,треба
бути,бути
не,не
тільки,тільки
тоді,тоді
коли,коли
ваш,ваш
виступ,виступ
а,а
й,й
тоді,тоді
коли,коли
треба,треба
працювати,працювати
і,і
голосу,голос
вати,вата
Я,я
прошу,просити
запросити,запросити
депутатів,депутат
до,до
залу,зал
Будь,бути
ласка,ласка
нам,ми
бракує,бракуя
кількох,кілька
голосів,голос
З,з
араз,араз
я,я
поставлю,поставити
пропозицію,пропозиція
повернутис,повернутис
я,я
до,до
голосу,голос
вання,вання
Прошу,прош
закликати,закликат
до,до
залу,зал
колег,колега
Колеги,Колеги
будь,бути
ласка,ласка
прошу,просити
заходити,заходити
Ставлю,ставля
на,на
голосування,голосування
пропозицію,пропозиція
повернутис,повернутис
я,я
до,до
голосування,голосування
проекту,проект
закону,закон
№,№
4676,4676
Прошу,прош
підтримати,підтримати
Потім,потім
я,я
поставлю,поставити
про,про
позицію,позиція
про,про
направлення,направлення
на,на
повторне,повторний
друге,другий
читання,читання
Зараз,зараз
голосуємо,голосує
лишень,лишень
за,за
повернення,повернення
Прошу,прош
підтримати,підтримати
пропозицію,пропозиція
про,про
повернення,повернення
до,до
голосування,голосування
законопроекту,законопроект
№,№
4676,4676
Прошу,прош
голосувати,голосуват
Уважно,уважно
За,за
216,216
Покажіть,покажіть
по,по
фракціях,фракція
Шум,шум
у,у
залі,зал
Блок,блок
Петра,петра
Пор,пор.
ошенка,ошенка
100,100
Народний,народний
фронт,фронт
72,72
Опозиційний,опозиційний
блок,блок
0,0
Самопоміч,Самопоміч
0,0
Батьківщина,батьківщина
12,12
Радикальн,радикальн
ої,ої
парті,парта
ї,ї
Ляшка,ляшко
9,9
Партія,партія
Відродження,відродження
2,2
Воля,воля
народу,народ
6,6
позафракційні,позафракційня
15,15
Колеги,Колеги
я,я
ще,ще
раз,раз
поставлю,поставити
пропозицію,пропозиція
про,про
повернення,повернення
до,до
голосування,голосування
якщо,якщо
ми,ми
не,не
підтримаємо,підтримать
законопроект,законопроект
буде,бути
відхилено,відхилити
Прошу,прош
підтримати,підтримати
Колеги,Колеги
прошу,просити
приготуватис,приготуватис
я,я
до,до
голосування,голосування
Я,я
ще,ще
раз,раз
ставлю,ставель
пропозицію,пропозиція
повернутис,повернутис
я,я
до,до
голос,голос
ування,ування
за,за
проект,проект
закону,закон
№,№
4676,4676
і,і
прошу,просити
підтримати,підтримати
Будь,бути
ласка,ласка
прошу,просити
голосувати,голосуват
За,за
220,220
Колеги,Колеги
я,я
ще,ще
раз,раз
поставлю,поставити
це,це
буде,бути
останній,останній
раз,раз
65,65
Колеги,Колеги
я,я
ставлю,ставель
останній,останній
раз,раз
пропозицію,пропозиція
про,про
повернення,повернення
до,до
голосування,голосування
Якщо,якщо
пропозицію,пропозиція
не,не
буде,бути
підтримано,підтримано
законопроект,законопроект
бу,бу
де,де
відхилено,відхилити
І,і
ми,ми
перейдемо,перейдема
до,до
розгляду,розгляд
наступного,наступний
законопроекту,законопроект
Отже,отже
колеги,колега
я,я
ставлю,ставель
пропозицію,пропозиція
про,про
повернення,повернення
до,до
розгляду,розгляд
проекту,проект
Закону,закон
Про,про
внесення,внесення
змін,зміна
до,до
деяких,деякий
законодавчих,законодавчий
актів,акт
України,Україна
щодо,щодо
умов,умова
зміни,зміна
меж,межа
районів,район
у,у
процесі,процес
добровільного,добровільний
об’єд,об’єд
нання,нання
територіальних,територіальний
громад,громада
№,№
4676,4676
Прошу,прош
проголосувати,проголосувати
за,за
повернення,повернення
до,до
розгля,розгля
ду,ду
Прошу,прош
підтримати,підтримати
колеги,колега
Будь,бути
ласка,ласка
голосуємо,голосує
За,за
219,219
Рішення,рішення
не,не
прийнято,прийнято
Проект,проект
закону,закон
№,№
4676,4676
відхилено,відхилити
Отакий,отакий
колеги,колега
ми,ми
зробили,зробити
подарунок,подарунок
місцевим,місцевий
громадам,громада
до,до
Дня,дня
місцевого,місцевий
самоврядування,самоврядування
Колеги,Колеги
наступний,наступний
законопроект,законопроект
№,№
4772,4772
автори,автор
просят,просят
ь,ь
зняти,зняти
з,з
розгляду,розгляд
так,так
само,само
як,як
і,і
№,№
5247,5247
для,для
додаткових,додатковий
консультацій,консультація
Шахов,шахов
Сергій,Сергій
Володимирович,володимирович
автор,автор
законопроекту,законопроект
просить,просити
зняти,зняти
з,з
роз,роз
гляду,гляда
––––––,–––––
––,––
––,––
Переходимо,переходий
до,до
наступного,наступний
блоку,блок
питань,питання
Проект,проект
Закону,закон
П,П.
ро,ро
внесення,внесення
зміни,зміна
до,до
підрозділу,підрозділ
2,2
ро,ро
зділу,зділ
ХХ,хх
Податкового,податкове
кодексу,кодекс
України,Україна
щодо,щодо
постачання,постачання
на,на
митну,митн
територію,територія
України,Україна
матеріалів,матеріал
тканин,тканин
для,для
виготовлення,виготовлення
спеціальних,спеціальний
засобів,засіб
індивідуального,індивідуальний
захисту,захист
Цей,цей
проект,проект
закону,закон
з,з
блоку,блок
питань,питання
податкової,податковий
та,та
митної,митний
політики,політика
але,але
насправді,насправді
він,він
стосується,стосуватися
питання,питання
національної,національний
безпеки,безпека
Тут,тут
пропонується,пропонується
щоб,щоб
ми,ми
змогли,змогти
зняти,зняти
податок,податок
на,на
митну,митн
продукцію,продукція
для,для
матеріалів,матеріал
призначених,призначений
для,для
виготовлення,виготовлення
спеціальних,спеціальний
засобів,засіб
індивідуального,індивідуальний
захисту,захист
Я,я
прошу,просити
підтримати,підтримати
розгляд,розгляд
даного,даний
законо,законо
проекту,проект
за,за
скороченою,скорочена
процедур,процедура
ою,хресна
Прошу,прош
проголосувати,проголосувати
прошу,просити
підтримати,підтримати
будь,бути
ласка,ласка
За,за
161,161
Рішення,рішення
прийнято,прийнято
Запрошую,запрошуй
до,до
доповіді,доповід
народного,народний
депутата,депутат
України,Україна
Денисенка,денисенка
Вадима,вадима
Ігор,Ігор
овича,овича
Будь,бути
ласка,ласка
Денисенко,денисенко
Вадим,Вадим
Ігор,Ігор
ович,ович
Колеги,Колеги
