П’ятниця,п’ятниця
і,і
відповідно,відповідно
на,на
тарифи,тариф
українських,український
споживачів,споживач
Радикальна,радикальна
партія,партія
н,н
аполягає,аполягає
на,на
зміні,зміна
політики,політика
уряду,уряд
щодо,щодо
українського,український
народу,народ
Не,не
можуть,могти
кошти,кошти
від,від
міжнародних,міжнародний
донорів,донори
спрямовуватись,спрямовуват
не,не
в,в
реальну,реальну
економіку,економіка
Ми,ми
за,за
те,те
аби,аби
ці,цей
кошти,кошти
надавались,надавались
як,як
підтримка,підтримка
тільк,тільк
и,и
середньому,середнє
і,і
малому,мале
бізнесу,бізнес
і,і
кредитування,кредитування
відбувалося,відбуватися
не,не
на,на
рі,рі
вні,вно
50,50
відсотків,відсоток
як,як
нам,ми
оголо,оголо
сило,сило
керівництво,керівництво
Національного,національний
банку,банк
а,а
на,на
рівні,рівень
до,до
12,12
відсотків,відсоток
Це,це
реально,реально
дасть,дати
можливість,можливість
бізнесу,бізнес
підвестися,підвестися
з,з
колін,коліно
створити,створит
нові,новий
робочі,робоча
місця,місце
і,і
підняти,підняти
заробітну,заробітно
плату,плата
Ми,ми
за,за
те,те
щоби,щоби
скоро,скоро
чувалися,чувалися
доходи,дохід
не,не
громадян,громадянин
а,а
олігархів,олігарх
До,до
громадян,громадянин
нема,немати
чого,що
руки,рука
простягати,простягати
допоки,допоки
ми,ми
не,не
лік,лік
відували,відували
всі,весь
корупційні,корупційня
схеми,сха
в,в
енергетиці,енергетиці
на,на
митниці,митниця
у,у
фіскальній,фіскальнія
службі,служба
а,а
чиновницький,чиновницький
апарат,апарат
залишається,залишатися
роздутий,роздутий
Ось,ось
останні,останній
факти,факт
Міністерство,міністерство
фінансів,фінанси
після,після
того,те
як,як
міністр,міністр
з,з
цієї,цей
трибуни,трибуна
доповідала,доповідала
про,про
необхідність,необхідність
скорочення,скорочення
доходів,дохід
громадян,громадянин
проводить,проводити
тендер,тендер
на,на
87,87
послуги,послуга
таксі,таксі
на,на
суму,сума
понад,понад
1,1
мільйон,мільйон
гривень,гривня
Невже,невже
це,це
соціаль,соціаль
на,на
політика,політика
Невже,невже
це,це
той,той
уряд,уряд
якому,який
повинен,повинний
народ,народ
України,Україна
довіряти,довірят
Радикальна,радикальна
партія,партія
проти,проти
того,те
аби,аби
пенсійна,пенсійна
реформа,реформа
здійснювалась,здійснювалась
за,за
незрозумілими,незрозуміли
правилами,правило
Люди,людина
які,який
відпрацю,відпраця
вали,вали
значну,значний
частину,частина
пенсійного,пенсійний
стажу,стаг
повинні,повинний
мати,мати
незмінні,незмінний
умови,умова
пенсійного,пенсійний
забезпечення,забезпечення
А,а
якщо,якщо
хочете,хотіти
підняти,підняти
пенсійний,пенсійний
вік,вік
у,у
народному,народна
господарстві,господарство
шахтарям,шахтар
працівникам,працівник
сільського,сільський
господарства,господарство
будь,бути
ласка,ласка
але,але
забезпечте,забезпечте
спочатку,спочатку
належні,належні
умо,умо
ви,ви
охорону,охорона
і,і
оплату,оплата
праці,праця
Тоді,тоді
можна,можна
говорити,говорити
й,й
про,про
зворотний,зворотний
бік,бік
медалі,медалі
Прожитковий,прожитковий
мінімум,мінімум
ми,ми
повинні,повинний
перераховувати,перераховуват
у,у
відпо,відпо
відності,відність
до,до
реальної,реальний
ситуації,ситуація
з,з
тарифами,тариф
в,в
ЖКГ,ЖКГ
і,і
ціна,ціна
ми,ми
на,на
товари,товар
першої,перший
необхідності,необхідність
Радикальна,радикальна
партія,партія
порушила,порушила
питання,питання
про,про
те,те
ГОЛОВУЮЧИЙ,головуючий
Будь,бути
ласка,ласка
десять,десять
секунд,секунда
ЧИЖМАРЬ,чижмарь
Ю,Ю
В,в
але,але
й,й
цього,цей
мало,мало
Ми,ми
повинні,повинний
переглядати,переглядати
прожитковий,прожитковий
мінімум,мінімум
частіше,частіше
тому,тому
що,що
на,на
жаль,жаль
інфляційні,інфляційня
про,про
цеси,цес
в,в
Україні,Україна
погли,погли
блюються,блюються
На,на
завершення,завершення
хотів,хотіти
би,би
сказати,сказати
що,що
Радикальна,радикальна
партія,партія
на-,на-
працювала,працювати
свій,свій
план,план
соціальних,соціальний
реформ,рефор
Ми,ми
вважаємо,вважаємо
що,що
уряд,уряд
має,мати
бути,бути
посилений,посилений
а,а
можливо,можливо
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
дуже,дуже
вам,ви
Будь,бути
ласка,ласка
до,до
слова,слово
запрошується,запрошується
Лубінець,лубінець
Дмитро,Дмитро
Вале,вале
рійович,рійович
“,“
Блок,блок
Петра,петра
Порошенка,Порошенко
”,”
ЛУБІНЕЦЬ,лубінець
Д,Д.
В,в
секретар,секретар
Ко,ко
мітету,мітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
Регламенту,регламент
та,та
організації,організація
роботи,робота
Верховної,верховний
Ради,рада
України,Україна
одномандатний,одномандатний
виборчий,виборчий
округ,окр
№,№
60,60
Донецька,донецький
область,область
партія,партія
“,“
Блок,блок
Петра,петра
Порошенка,Порошенко
”,”
Мажоритарный,мажоритарнія
округ,окр
№,№
60,60
Донецк,донецк
ая,ая
88,88
область,область
фракция,фракция
“,“
Блок,блок
Петра,петра
Порошенка,Порошенко
”,”
Добрый,добрый
день,день
уважае,уважае
мый,мый
украинский,украинский
народ,народ
уважаемые,уважаемые
народные,народные
депутаты,депутат
Преды,предя
дущий,дущий
выступающий,выступающий
оценил,оценил
дея,дея
тельность,тельность
Кабинета,кабинета
Министров,министров
Я,я
расскажу,расскаж
о,о
том,том
что,что
прои,прои
сходит,сходит
в,в
моем,мо
округе,округе
и,и
почему,почема
я,я
требую,требуя
срочного,срочний
в,в
мешательства,мешательство
Кабинета,кабинета
Министров,министров
На,на
данный,данный
момент,момент
Волнов,волнов
аха,аха
всем,віс
печально,печально
известная,известная
и,и
Волновахский,волновахский
район,район
полностью,полность
отрезаны,отрезаны
от,от
любого,любо
финанси,финанси
рования,рования
социальных,социальний
выплат,выплат
Помощь,помощь
на,на
маленьких,маленький
детей,детей
пенсии,пенсии
пенсионерам,пенсионер
выплаты,выплата
обездоленным,обездолення
заблокированы,заблокирован
Что,что
произошло,произошло
Кабинет,кабинет
Министров,министров
18,18
февраля,февраля
внес,внес
изме,изме
нения,нения
в,в
список,список
населенных,населення
пунктов,пунктов
неподконтрольных,неподконтрольні
украинс,украинс
кой,кой
власти,власть
Эти,Эти
изменения,изменения
коснулись,коснулись
10,10
процентов,процентов
населенных,населення
пунктов,пунктов
Волновахского,волновахский
района,района
но,но
тем,тема
не,не
менее,мене
казначейство,казначейство
блокирует,блокирует
перечислени,перечислени
е,е
средств,средств
на,на
счета,счета
во,во
всем,віс
Волновахском,волновахск
районе,районе
Вдумайтесь,вдумайтесь
на,на
данный,данный
момент,момент
порядка,порядка
80,80
тысяч,тысяча
людей,людина
которые,которые
рьяно,рьяно
выступали,выступали
и,и
выступают,выступают
за,за
украинскую,украинскуя
власть,власть
просто,просто
отрезаны,отрезаны
от,от
средств,средств
к,к
существованию,существований
В,в
Кабинете,кабинете
Министров,министров
друг,друг
на,на
друга,другий
перекладывают,перекладывают
ответственность,ответственность
казначейство,казначейство
кивает,кивает
на,на
Минфин,минфин
Минфин,минфин
—,—
на,на
Минсоцполитики,минсоцполитика
в,в
итоге,итоге
никто,никто
ничего,ничего
не,не
делает,делает
Две,две
недели,недел
назад,назад
я,я
лично,лично
со,со
своими,свій
коллегами,коллега
от,от
Донецкой,донецко
области,область
под,под
ходил,ходил
к,к
министру,министр
финансов,финансов
Она,она
обещала,обещала
разобраться,разобраться
в,в
течение,течение
нескольких,несколька
дней,дней
но,но
в,в
оз,оз
и,и
ныне,ныне
там,там
Сегодня,сегодня
утром,утр
в,в
кабинет,кабинет
председателя,председателя
райгосадминистра,райгосадминистра
ции,ци
пришли,пришли
порядка,порядка
50,50
мам,ми
с,с.
грудными,грудні
детьми,деть
и,и
требовали,требовали
выплатить,выплатить
им,им
деньги,деньги
Сейчас,сейчас
на,на
центральной,центральний
площади,площади
будет,будет
собираться,собираться
митинг,митинг
пенсионеров,пенсионеров
И,и
потом,пото
мы,мы
с,с.
вами,ви
здесь,здесь
услы,усел
шим,шо
что,что
не,не
де,де
путаты,путаты
сидят,сидят
под,под
куполом,купол
окажется,окажется
что,что
слова,слово
которые,которые
звучат,звучат
на,на
российских,российскі
телеканалах,телеканал
наиболее,наиболее
примени,примени
тельны,тельны
к,к
нам,ми
Поэтому,Поэтому
я,я
прошу,просити
вашей,ваш
поддержки,поддержки
как,как
депутатов,депутатов
На,на
два,два
часа,часа
дня,день
меня,меня
пригласили,пригласили
в,в
Кабинет,кабинет
Министров,министров
якобы,якіб
89,89
быстренько,быстренько
попробуют,попробуют
разобра,разобра
ться,ться
с,с.
данной,данной
ситуацией,ситуацией
Как,как
они,они
ее,ее
разрешат,разрешат
я,я
вас,ви
всех,весь
введу,введ
в,в
курс,курс
дела,дела
Спасибо,спасибо
большое,большое
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
вам,ви
Юрій,Юрій
Чижмарь,чижмарь
передає,передавати
слово,слово
Ігорю,Ігор
Мосійчуку,мосійчук
Радикальна,радикальна
партія,партія
Будь,бути
ласка,ласка
МОСІЙЧУК,мосійчук
І,і
В,в
перший,перший
заступник,заступник
голови,голова
Комітету,комітет
Верхов,верхов
ної,вона
Ради,рада
України,Україна
з,з
питань,питання
законодавчого,законодавчий
забезпечення,забезпечення
правоохо,правій
ронної,ронна
діяльності,діяльність
загальнодержавний,загальнодержавний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
Радикальна,радикальна
партія,партія
Олега,олега
Ляшка,ляшко
Шановний,шановний
український,український
народе,народе
Шановний,шановний
український,український
парламенте,парламенте
Говорити,говорити
в,в
цьому,це
залі,зал
за,за
корупцію,корупція
с,с.
тало,тало
вже,вже
звично,звично
Але,але
тільки,тільки
за,за
тиждень,тиждень
що,що
закінчується,закінчуватися
відбулися,відбутися
кричущі,кричущі
факти,факт
про,про
які,який
не,не
можна,можна
не,не
згадати,згадати
Маю,мати
достеменні,достемення
докази,докази
з,з
приводу,привід
чого,що
й,й
звертаюсь,звертаюсь
до,до
Служби,служба
безпеки,безпека
України,Україна
до,до
військової,військовий
прокуратури,прокуратура
щодо,щодо
зло,зло
вживань,вживань
на,на
оборонному,оборонне
заводі,завод
“,“
Ім,ім
пульс,пульс
”,”
у,у
місті,місто
Києві,Київ
на,на
цьому,це
тижні,тиждень
з,з
заводу,завод
викачано,викачано
20,20
мільйонів,мільйон
гривень,гривня
для,для
переве,переве
дення,дення
в,в
готівку,готівка
на,на
підставну,підставна
фірму,фірма
Одеса,Одеса
ситуація,ситуація
в,в
пенітенціарній,пенітенціарній
службі,служба
Отримавши,отримавша
хабаря,хабаря
від,від
в’язнів,в’язень
грузинської,грузинська
національності,національність
наглядачі,наглядач
жорстоко,жорстоко
побили,побити
інших,інший
в’яз,в’яз
нів,но
В,в
результаті,результат
—,—
заворушення,заворушення
у,у
в’язниці,в’язниця
То,то
в,в
мене,я
запитання,запитання
до,до
керівництва,керівництва
пенітенціарної,пенітенціарна
служби,служба
ви,ви
навмисно,навмисно
в,в
прифронтовій,прифронтов
зоні,зона
провокуєте,провокуєте
такі,такий
конфлікти,конфлікт
Що,що
відбувається,відбуватися
Чому,чому
не,не
змінюються,змінюватися
керівники,керівники
закладів,заклад
позбавлення,позбавлення
волі,воля
які,який
підтримували,підтримувати
сепа,сепо
ратистів,ратистіт
на,на
сході,схід
а,а
навпаки,навпаки
—,—
їх,вони
переводять,переводять
і,і
призначають,призначають
на,на
інші,інший
посади,посада
Наприклад,наприклад
у,у
Березанську,березанська
колонію,колонія
переведений,переведений
керівник,керівник
з,з
Донецької,донецький
області,область
який,який
п’яним,п’яним
збив,збити
журналістку,журналістка
на,на
цьому,це
тижні,тиждень
Можна,можна
багато,багато
говорити,говорити
про,про
ко,ко
рупцію,рупція
не,не
тільки,тільки
в,в
цій,цей
сфері,сфера
а,а
й,й
у,у
багатьох,багато
інших,інший
сферах,сфера
Тут,тут
уже,уже
був,бути
виступ,виступ
про,про
те,те
що,що
робить,робити
пан,пан
Кривопішин,кривопішин
Але,але
ніхто,ніхто
не,не
згадує,згадувати
що,що
в,в
контексті,контексть
розслідування,розслідування
90,90
злочинів,злочин
проти,проти
учасників,учасник
Революції,революція
Гідності,гідність
його,його
навіть,навіть
не,не
допи,допи
тано,тано
хоча,хоча
саме,саме
він,він
віддавав,віддава
накази,наказ
будувати,будувати
барикади,барикада
звозити,звозити
спецзасоби,спецзасоби
для,для
“,“
Беркуту,беркута
”,”
Все,все
робилося,робитися
з,з
використанням,використання
Укрза,укрза
лізниці,лізниця
І,і
ця,цей
особа,особа
надалі,надалі
продовжує,продовжувати
керувати,керувати
таким,такий
стратегічним,стратегічний
підприємством,підприємство
а,а
потім,потім
маємо,мати
вибухи,вибух
на,на
залізничних,залізничний
коліях,колія
на,на
сході,схід
і,і
таке,такий
інше,інше
Враховуючи,враховуючи
сказане,сказане
звертаюсь,звертаюсь
до,до
Генерального,генеральний
про,про
курора,курора
України,Україна
до,до
голови,голова
Служби,служба
безпеки,безпека
України,Україна
до,до
міністра,міністр
внутріш,внутріш
ніх,воно
справ,справа
і,і
прошу,просити
провести,провести
ретельне,ретельний
розслідування,розслідування
щодо,щодо
зло,зло
вживань,вживань
на,на
оборонному,оборонне
заводі,завод
“,“
Імпу,щмпа
льс,льс
”,”
в,в
пенітенціарній,пенітенціарній
службі,служба
і,і
Укрзалізниці,укрзалізниця
Прошу,прош
вважати,вважати
мій,мій
виступ,виступ
депутатським,депутатський
запитом,запит
ГОЛОВУЮЧИЙ,головуючий
Дуже,дуже
вам,ви
дякую,дякувати
Шановні,шановний
колеги,колега
я,я
хочу,хотіти
з,з
вами,ви
п,п.
орадитися,орадитися
Ми,ми
ще,ще
маємо,мати
майже,майже
15,15
хвилин,хвилина
часу,час
на,на
виступи,виступ
У,у
мене,я
до,до
вас,ви
прохання,прохання
щоб,щоб
ще,ще
надати,надати
слово,слово
Левченкові,левченко
і,і
Романовій,романовія
Також,також
д,д.
о,о
мене,я
надійшли,надійшли
звернення,звернення
від,від
двох,два
народних,народний
депутатів,депутат
які,який
в,в
ийшли,ийшла
коли,коли
я,я
ого,о_о
лосив,лосив
перерву,перерва
і,і
тепер,тепер
вони,вони
наголошують,наголошують
на,на
тому,тому
що,що
не,не
встигли,встигли
записати,записати
ся,ся
Отже,отже
чотири,чотири
виступи,виступ
Це,це
12,12
хвилин,хвилина
І,і
ще,ще
Головку,головка
буде,бути
надано,надано
слово,слово
Усього,усе
15,15
хвилин,хвилина
Ми,ми
готові,готовий
до,до
уваги,увага
на,на
15,15
хвилин,хвилина
Тоді,тоді
послухаємо,послуха
виступи,виступ
Левченка,левченка
Романової,романова
Гол,гол
овка,овик
Шиньковича,шинькович
і,і
Кривошеї,кривішея
—,—
п’ять,п’ять
виступів,виступ
І,і
якраз,якраз
встигнемо,встигнути
за,за
вершити,вершит
о,о
пів,пів
на,на
другу,другий
як,як
і,і
передбачено,передбачено
Регламентом,регламент
Я,я
запрошую,запрошуй
до,до
слова,слово
Левченка,левченка
Юрія,юрія
Володимировича,володимирович
Будь,бути
ласка,ласка
ЛЕВЧЕНКО,левщенко
Ю,Ю
В,в
голова,голова
підкомітету,підкомітет
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
пита,пита
нь,нь
бюджету,бюджет
одномандатний,одномандатний
виборчий,виборчий
округ,окр
№,№
223,223
м,м
Київ,Київ
політична,політична
партія,партія
“,“
Всеукраїнське,всеукраїнське
об’єднання,об’єднання
“,“
Свобода,свобода
”,”
“,“
Свобода,свобода
”,”
223,223
-й,-й
округ,окр
Шевченківський,шевченківський
район,район
міста,місто
Києва,Київ
Шановне,шановний
товариство,товариство
Український,український
народе,народе
Я,я
хотів,хотіти
би,би
звер,звер
нутися,нутися
до,до
вас,ви
більше,більше
як,як
депутат,депутат
мажоритарник,мажоритарник
від,від
Києва,Київ
тому,тому
91,91
що,що
те,те
що,що
відбувається,відбуватися
останнім,останній
часом,час
в,в
місті,місто
Києві,Київ
по,по
іншому,інший
окрім,окрім
як,як
вакханалією,вакханалія
будівельної,будівельна
мафії,мафія
назвати,назвати
не,не
можна,можна
Чому,чому
саме,саме
в,в
п’ятницю,п’ятниця
цього,цей
тижня,тиждень
я,я
хотів,хотіти
про,про
це,це
сказати,сказати
Тому,тому
що,що
під,під
час,час
пленарних,пленарний
засідань,засідань
ми,ми
розгляда,розгляда
ли,ли
проекти,проект
зако,зако
нів,но
дуже,дуже
важливі,важливі
для,для
країни,країна
а,а
потім,потім
мені,я
ще,ще
доводилося,доводитися
якомога,якомога
скоріше,скоріше
їхати,їхати
кожен,кожний
день,день
в,в
різні,різний
райони,район
Києва,Київ
для,для
того,те
щоб,щоб
зупинити,зупинити
ту,той
чи,чи
іншу,інший
незаконну,незаконна
забудову,забудова
Адже,адже
життєвий,життєвий
простір,простір
киян,киянин
просто,просто
знищується,знищується
через,через
бездіяльність,бездіяльність
столичної,столична
влади,влада
Наш,наш
спортивний,спортивний
мер,мер
Віталій,Віталій
Кличко,кличко
не,не
бореться,бореться
проти,проти
незаконних,незаконні
забудов,забудова
навпаки,навпаки
—,—
він,він
їх,вони
прикриває,прикриває
От,от
нещодавно,нещодавно
мер,мер
звітував,звітувать
про,про
те,те
що,що
припинені,припинений
приблизно,приблизно
20,20
забудов,забудова
зокрема,зокрема
забудови,забудова
одіозного,одіозний
Войцеховського,войцеховський
який,який
будує,будува
житло,житло
без,без
жодних,жодний
дозвільн,дозвільн
их,их
документів,документ
Насправді,насправді
це,це
елементарн,елементарн
ий,ий
обман,обман
Все,все
це,це
будівництво,будівництво
яке,який
нібито,нібито
припинено,припинено
продовжується,продовжуватися
далі,далі
знищуються,знищуються
зелені,зелений
зони,зона
розвалюються,розвалюються
старі,старий
будинки,будинок
Наприклад,наприклад
біля,біля
“,“
хрущівки,хрущівки
”,”
де,де
мешкають,мешкають
малозабез,малозабез
печені,печеня
люди,людина
які,який
не,не
мають,мати
за,за
що,що
жити,жити
будуєт,будуєт
ься,ься
25,25
поверхівка,поверхівка
замість,замість
дитячого,дитячий
майданчика,майданчик
а,а
“,“
хрущівка,хрущівка
”,”
розвалюється,розвалюється
Але,але
меру,мера
і,і
столичній,столичнія
владі,влада
це,це
не,не
цікаво,цікаво
Вони,вони
не,не
приїжджають,приїжджають
на,на
місце,місце
будівництва,будівництво
не,не
борються,борються
з,з
цими,цей
забудовниками,забудовник
не,не
звер,звер
таються,таються
до,до
Кабінету,кабінет
Міністрів,міністр
для,для
того,те
щоб,щоб
Держархбудінс,держархбудінс
пекція,пекція
проводила,проводити
відповідні,відповідні
перевірки,перевірка
не,не
звертаються,звертаються
до,до
міліції,міліція
про,про
куратури,куратура
Це,це
тому,тому
що,що
звісно,звісно
абсурдна,абсурдна
ситуація,ситуація
в,в
Києві,Київ
коли,коли
першим,перший
заступником,заступник
Кличка,кличка
є,бути
пан,пан
Ніконов,ніконов
який,який
сам,сам
—,—
один,один
із,із
найбільших,найбільший
забудовників,забудовник
країни,країна
Це,це
як,як
Що,що
це,це
таке,такий
товариство,товариство
Міська,міська
влада,влада
має,мати
слідкувати,слідкувати
за,за
тим,те
щоб,щоб
були,бути
нормальні,нормальний
умови,умова
життєвого,життєвой
простору,простір
містян,містян
щоб,щоб
будівельна,будівельна
мафія,мафія
не,не
ро,ро
била,бити
що,що
їй,вона
заманеться,заманутися
А,а
в,в
Києві,Київ
навпаки,навпаки
будівельна,будівельна
мафія,мафія
контролює,контролює
міську,міський
владу,влада
Тому,тому
я,я
хотів,хотіти
би,би
вкотре,вкотре
звернутися,звернутися
до,до
Віталія,Віталія
Кличка,кличка
д,д.
о,о
Київської,київський
міської,міський
державної,державний
адміністрації,адміністрація
і,і
закликати,закликат
їх,вони
нарешті,нарешті
щось,щось
робити,робити
з,з
метою,мета
забезпечення,забезпечення
нормальних,нормальний
умов,умова
прожи,прожи
вання,вання
для,для
киян,киянин
щоб,щоб
не,не
розвалювались,розвалювались
“,“
хрущівки,хрущівки
”,”
панельні,панельні
92,92
дев’ятиповерхові,дев’ятиповерх
будинки,будинок
щоб,щоб
для,для
людей,людина
залишалися,залишатися
майдан,майдан
чики,чика
зелені,зелений
зон,зона
и,и
і,і
не,не
будувалися,будувалися
всюди,всюди
торговельно,торговельно
розважальні,розважальний
центри,центр
“,“
свічки,свічка
”,”
на,на
25,25
поверхів,поверх
коли,коли
людям,людина
нема,немати
де,де
навіть,навіть
прогу,прога
лятися,лятися
і,і
відпочити,відпочити
тому,тому
що,що
бачите,бачите
хтось,хтось
в,в
КМДА,кмда
заніс,заніс
декілька,декілька
копійок,копійка
Робіть,робіть
щось,щось
нарешті,нарешті
Боріться,боріться
п,п.
роти,роти
цих,цей
незаконних,незаконні
забудов,забудова
Бо,бо
якщо,якщо
в,в
и,и
це,це
не,не
будете,бути
робити,робити
т,т.
о,о
люди,людина
підуть,підуть
під,під
КМДА,кмда
і,і
самі,сам
з,з
вами,ви
розберуться,розберуться
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Анна,анна
Анатоліївна,Анатоліївна
Романова,романова
фракція,фракція
“,“
Самопоміч,Самопоміч
”,”
Будь,бути
ласка,ласка
РОМАНОВА,романова
А,а
А,а
секретар,секретар
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
сім’ї,сім’я
молодіжної,молодіжний
політики,політика
спорту,спорт
та,та
туризму,туризм
загально,загально
державний,державний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
політична,політична
партія,партія
“,“
Об’єднання,об’єднання
“,“
Самопоміч,Самопоміч
”,”
Шановні,шановний
колеги,колега
народні,народний
депутати,депутат
Ша,ша
новний,новний
народе,народе
України,Україна
Місяць,місяць
тому,тому
ми,ми
в,в
цій,цей
залі,зал
Верховної,верховний
Ради,рада
стоячи,стояч
вшанували,вшанували
пам’ять,пам’ять
загиблих,загиблі
справжніх,справжній
героїв,герой
України,Україна
які,який
були,бути
іноземцями,іноземець
Але,але
справа,справа
в,в
тому,тому
що,що
за,за
чинним,чинне
законодав,законодавава
ством,ство
ми,ми
не,не
можемо,могти
нагородити,нагородити
іноземців,іноземець
які,який
відстоюють,відстоюють
тери,тери
торіальну,торіальна
цілісність,цілісність
нашої,наш
держави,держава
на,на
сході,схід
воюючи,воюючи
з,з
російським,російський
окупантом,окупант
Крім,крім
того,те
досі,досі
не,не
присвоєно,присвоєно
звання,звання
Герой,герой
Укра,укра
їни,їни
Михайлу,михайл
Жизнєвському,жизнєвський
який,який
загинув,загинути
під,під
час,час
Революції,революція
Гідності,гідність
як,як
і,і
інші,інший
герої,герой
Небесної,небесна
Сотні,сотня
Він,він
був,бути
громадянином,громадянин
Білорусі,Білорусь
Його,його
батько,батько
дуже,дуже
хворіє,хворія
він,він
має,мати
єдину,єдиний
мету,мету
щоб,щоб
син,син
якого,який
не,не
визнає,визнавати
рідна,рідний
держава,держава
він,він
—,—
зрадник,зрадник
у,у
Білорусі,Білорусь
став,стати
Героєм,герой
України,Україна
Крім,крім
того,те
серед,серед
героїв,герой
Небесної,небесна
Сотні,сотня
є,бути
дв,дв
оє,оє
громадян,громадянин
Грузії,грузія
—,—
Зураб,зураб
Хурція,хурція
та,та
Давид,давид
Кіпіані,кіпіані
Я,я
дуже,дуже
прошу,просити
щоб,щоб
ми,ми
у,у
вівторок,вівторок
проголосували,проголосувати
за,за
цей,цей
законопроект,законопроект
який,який
постійно,постійно
ставлять,ставити
на,на
розгляд,розгляд
у,у
п’ятницю,п’ятниця
а,а
це,це
фактично,фактично
означає,означати
що,що
він,він
не,не
буде,бути
пр,пр.
оголосований,оголосований
тому,тому
що,що
93,93
присутність,присутність
народних,народний
депутатів,депутат
України,Україна
у,у
п’ятницю,п’ятниця
недостатня,недостатня
для,для
позитивного,позитивного
голосування,голосування
Тому,тому
я,я
звертаюся,звертаюся
офіційно,офіційно
до,до
спікера,спікера
Верховної,верховний
Ради,рада
України,Україна
Гройсмана,гройсман
Володимира,Володимир
Борисовича,борисович
щоб,щоб
нарешті,нарешті
цей,цей
законопроект,законопроект
був,бути
поставлений,поставлений
7,7
квітня,квітень
на,на
голосування,голосування
і,і
ми,ми
бодай,бодай
посмертно,посмертно
нагородили,нагородили
іноземців,іноземець
які,який
не,не
є,бути
громадянами,громадянин
України,Україна
найвищою,найвищий
відзнакою,відзнака
держави,держава
України,Україна
Слава,слава
Україні,Україна
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
дуже,дуже
вам,ви
Запрошую,запрошуй
до,до
слова,слово
Головка,головка
Михайла,Михайло
Йосифовича,йосифовича
ГОЛОВКО,головко
М,М.
Й,й
член,член
Ко,ко
мітету,мітет
Верховно,верховно
ї,ї
Ради,рада
України,Україна
з,з
питань,питання
податкової,податковий
та,та
митної,митний
політики,політика
одномандатний,одномандатний
виборчий,виборчий
округ,окр
№,№
164,164
Тернопільська,тернопільська
область,область
політична,політична
партія,партія
“,“
Всеукраїн,всеукраїн
ське,ське
об’єднання,об’єднання
“,“
Свобода,свобода
”,”
Всеукраїнське,всеукраїнське
об’єднання,об’єднання
“,“
Свобода,свобода
”,”
виборчий,виборчий
округ,окр
№,№
164,164
Тернопільщина,тернопільщина
Шановні,шановний
народні,народний
депутати,депутат
Шановні,шановний
виборці,виборець
Я,я
хотів,хотіти
би,би
вчергове,вчергове
торкнутися,торкнутися
дуже,дуже
болючої,болючий
для,для
простих,простий
українців,українець
—,—
селян,селянин
теми,тема
а,а
саме,саме
низьких,низьки
закупівельних,закупівельний
цін,ціна
на,на
молоко,молоко
Ви,ви
знаєте,знати
що,що
законопроект,законопроект
на,на
цю,цей
тему,тема
вносився,вносився
від,від
нашої,наш
партії,партія
